,ICD10
1343,H74
1344,Q73
1345,K86
1346,M31
1347,Q77
1348,D68
1349,K11
1350,D16
1351,D68
1352,M33
1353,M31
1354,P83
1355,M08
1356,M08
1357,I77
1358,Q66
1359,C91
1360,C91
1361,C91
1362,C91
1363,C91
1364,C91
1365,C91
1366,C91
1367,C76
1368,C92
1369,C92
1370,C92
1371,C95
1372,C95
1373,C95
1374,C75
1375,C75
1376,D47
1377,C95
1378,C95
1379,K10
1380,K10
1381,E88
1382,Q87
1383,Q87
1384,D64
1385,C41
1386,E03
1387,N18
1388,N18
1389,N18
1390,N17
1391,N17
1392,N17
1393,Q85
1394,M34
1395,M34
1396,M34
1397,M34
1398,D69
1399,D69
1400,C49
1401,A35
1402,A35
1403,A35
1404,A35
1405,E34
1406,E34
1407,M33
1408,M33
1409,M33
1410,M33
1411,M33
1412,E85
1413,E85
1414,E83
1415,Q87
1416,Q87
1417,E85
1418,E85
1419,Q87
1420,Q87
1421,M35
1422,M35
1423,E21
1424,E21
1425,I73
1426,I73
1427,Q79
1428,Q87
1429,Q87
1430,Q87
1431,E88
1432,E88
1433,Q87
1434,Q87
1435,Q87
1436,D84
1437,Q87
1438,M31
1439,M31
1440,M31
1441,D89
1442,D89
1443,N17
1444,N17
1445,N17
1446,D70
1447,M30
1448,E78
1449,E78
1450,E78
1451,M12
1452,M12
1453,E23
1454,E23
1455,Q87
1456,E77
1457,D76
1458,C96
1459,E83
1460,E83
1461,K86
1462,Q77
1463,B67
1464,B67
1465,B67
1466,B67
1467,B67
1468,D61
1469,G60
1470,Q71
1471,L94
1472,L94
1473,D68
1474,I68
1475,I68
1476,Q87
1477,E21
1478,N25
1479,K52
1480,Q87
1481,Q93
1482,F71
1483,F71
1484,E83
1485,E83
1486,Q75
1487,D72
1488,D72
1489,L99
1490,L99
1491,E30
1492,E30
1493,Q87
1494,Q66
1495,Q87
1496,Q87
1497,I67
1498,I67
1499,Q87
1500,Q87
1501,E75
1502,Q87
1503,Q93
1504,L50
1505,L50
1506,F84
1507,H50
1508,Q87
1509,Q87
1510,Q87
1511,Q87
1512,Q87
1513,G40
1514,Q75
1515,G71
1516,Q87
1517,G93
1518,F72
1519,F72
1520,Q87
1521,G72
1522,Q87
1523,Q87
1524,Q78
1525,Q87
1526,Q87
1527,M35
1528,K86
1529,Q77
1530,Q77
1531,E78
1532,Q87
1533,Q87
1534,E85
1535,Q87
1536,Q77
1537,E85
1538,Q87
1539,E85
1540,N15
1541,C40
1542,C40
1543,C40
1544,C40
1545,C40
1546,D48
1547,C91
1548,C91
1549,C91
1550,Q04
1551,K85
1552,K85
1553,L50
1554,E79
1555,M11
1556,M11
1557,E71
1558,E71
1559,G93
1560,G93
1561,G93
1562,E85
1563,E85
1564,Q04
1565,Q82
1566,Q82
1567,Q04
1568,Q04
1569,Q04
1570,E83
1571,E83
1572,Q87
1573,K85
1574,K85
1575,K85
1576,I68
1577,I68
1578,Q61
1579,Q87
1580,Q87
1581,Q87
1582,L50
1583,D61
1584,Q78
1585,D75
1586,D75
1587,D75
1588,G31
1589,G31
1590,E85
1591,I68
1592,I68
1593,K85
1594,K86
1595,Q77
1596,Q77
1597,E76
1598,Q78
1599,Q78
1600,M85
1601,Q87
1602,Q78
1603,E76
1604,Q77
1605,Q87
1606,Q78
1607,D16
1608,D16
1609,D16
1610,Q87
1611,Q77
1612,Q77
1613,E76
1614,M05
1615,M05
1616,E76
1617,Q93
1618,E76
1619,Q68
1620,Q77
1621,G71
1622,Q87
1623,Q77
1624,Q68
1625,Q87
1626,Q87
1627,A66
1628,A66
1629,E76
1630,A66
1631,A66
1632,Q87
1633,M92
1634,C40
1635,D61
1636,D61
1637,E83
1638,E83
1639,E70
1640,E70
1641,E25
1642,E25
1643,Q78
1644,Q77
1645,Q78
1646,Q78
1647,Q77
1648,C85
1649,M85
1650,Q87
1651,Q87
1652,Q78
1653,Q87
1654,Q04
1655,Q56
1656,Q85
1657,Q82
1658,M89
1659,M85
1660,Q73
1661,Q87
1662,M89
1663,M89
1664,M85
1665,Q77
1666,Q75
1667,D48
1668,Q87
1669,Q77
1670,Q78
1671,G71
1672,Q87
1673,E83
1674,E20
1675,Q76
1676,K10
1677,Q87
1678,Q87
1679,Q87
1680,Q77
1681,Q82
1682,Q78
1683,Q78
1684,Q77
1685,Q74
1686,Q77
1687,Q77
1688,Q77
1689,Q82
1690,H70
1691,H70
1692,H70
1693,Q87
1694,Q76
1695,Q78
1696,Q87
1697,Q77
1698,M19
1699,M19
1700,M19
1701,Q75
1702,Q75
1703,M62
1704,M62
1705,M62
1706,E77
1707,Q87
1708,Q77
1709,Q77
1710,E83
1711,E75
1712,E77
1713,E20
1714,E83
1715,E72
1716,Q78
1717,Q77
1718,Q77
1719,Q77
1720,Q74
1721,Q87
1722,Q76
1723,Q77
1724,Q77
1725,Q78
1726,D64
1727,E77
1728,Q74
1729,M22
1730,M22
1731,Q87
1732,Q74
1733,Q74
1734,Q75
1735,D64
1736,Q87
1737,Q76
1738,Q76
1739,Q77
1740,Q93
1741,Q77
1742,Q77
1743,G71
1744,Q87
1745,Q87
1746,Q78
1747,Q87
1748,D64
1749,M12
1750,M85
1751,D64
1752,Q78
1753,Q77
1754,Q77
1755,Q77
1756,Q78
1757,Q77
1758,Q77
1759,Q77
1760,Q77
1761,Q77
1762,Q78
1763,Q74
1764,Q72
1765,Q87
1766,H05
1767,M92
1768,D61
1769,D61
1770,G11
1771,E76
1772,E76
1773,Q82
1774,Q82
1775,E23
1776,E23
1777,Q75
1778,Q75
1779,E76
1780,D70
1781,D70
1782,T88
1783,T88
1784,T88
1785,Q76
1786,Q76
1787,Q76
1788,A53
1789,A53
1790,Q82
1791,M33
1792,M33
1793,D70
1794,G11
1795,G11
1796,Q87
1797,Q87
1798,Q87
1799,Q77
1800,Q77
1801,M94
1802,M94
1803,Q77
1804,Q77
1805,Q73
1806,E83
1807,Q87
1808,Q87
1809,G11
1810,G11
1811,G11
1812,G11
1813,Q77
1814,Q77
1815,Q77
1816,Q78
1817,Q78
1818,Q87
